Help #,Help Name,
515,"Browse - ORDERSUITVOERDET",
516,"BrowseS - ORDERSDETAILLER",
517,"Browse - ORDERMODIFICATIE",
518,"Browse - ORDERDETAILMODIF",
519,"Browse - ORDERSREPORTNUMB",
520,"Browse - TMP_ORDERSDETAIL",
521,"BrowseS - ORDHISORDERS",
522,"BrowseS - ORDHISUITVOERIN",
523,"BrowseS - ORDHISSTATUSVER",
524,"Browse - ORDHISREPORTNUMB",
525,"BrowseS - ORDHISDETAILLER",
526,"Browse - VW_ORDHISORDERS_",
527,"Browse - ORDERTELLERS",
528,"Browse - HELPKOPPELBESTAN",
529,"Browse - HELPREGISTRATIE",
530,"Browse - VRUCHTGEBR_OPBRE",
531,"Browse - TAX_FISCAALNRTYP",
532,"Browse - TAX_RELFISCAALNR",
533,"Browse - SECURITYGROEPEN",
534,"Browse - HANDELSFASE_SEC_",
535,"Browse - SECURITYSTATUS_F",
536,"Browse - OMSCHR_HANDELSFA",
537,"Browse - OMSCH_SECURITYST",
538,"Browse - BR_HEADER",
539,"Browse - BR_REGELS",
540,"Browse - ORDERT_NSC_STATU",
541,"Browse - SEC_ST_NSC_STATU",
542,"Browse - MARGES_STANDEN",
543,"Browse - PRODUKTCORRECTIE",
544,"Browse - VERTAAL_OALS_CST",
545,"Browse - MODELPORTEFEUILL",
546,"Browse - FONDSSELECTIE_BR",
547,"Browse - MAILREQUEST",
548,"Browse - INSTELLINGEN_IB",
549,"Browse - NSCEXECRPRTSIGNA",
550,"Browse - CMF_BERICH_NAV_O",
551,"Browse - FX_CONTRACTEN",
552,"Browse - DEFCLIENTGEGEVEN",
553,"Browse - DEFREKENINGGEGEV",
554,"Browse - FILE_TRANSFER",
555,"Browse - REGIOS",
556,"Browse - HOLDINGS",
557,"Browse - OVERRULE_AKTIES",
558,"Browse - BELEGGINGSDOELST",
559,"Browse - VORM_CONTACT",
560,"Browse - FREQUENTIE_CONTA",
561,"Browse - MD_MODULE_DEFINI",
562,"BrowseS - RETPROVISIERC",
563,"Browse - COMMKANONDERNEMI",
564,"Browse - GB_GROOTBOEKSESS",
565,"Browse - MF_MUTATIE_FUTUR",
566,"Browse - CR_CLOSING_RESUL",
567,"Browse - OBLIGO_VERPLICHT",
568,"Browse - GEBLOKKEERDE_POS",
569,"BrowseS - ON_LINE_DOSSIER",
570,"Browse - VW_KG_KREDIETGRO",
571,"Browse - HISTORISCH_OBLIG",
572,"Browse - MD_MARGIN_AP_DET",
573,"Browse - KG_KREDIETGROEPE",
574,"Browse - HIST_MARGIN_P_OP",
575,"Browse - ONLD_NAW_GEGEVEN",
576,"Browse - EP_KOERSLEV_MUNT",
577,"Browse - BEVESTIGING_MAIL",
578,"Browse - IKV_CMG_INTERFAC",
579,"Browse - RAPPORTAGEINSTEL",
580,"Browse - RAPPORTAGEGRENZE",
581,"Browse - WERKBESTDEPOTOVZ",
582,"Browse - DEPOTOVERZICHT",
583,"Browse - AUTORISATIECODES",
584,"Browse - CLIENTGROEPEN",
585,"Browse - TMP_DEPOTOVERZIC",
586,"Browse - RB_RELATIEBATCHH",
587,"Browse - RB_RELATIEBATCHD",
588,"Browse - VERZAMELRELATIES",
589,"Browse - REKENINGGROEPEN",
590,"Browse - DEPOSITORY_CODES",
591,"Browse - FYSIEKE_BOEKINGE",
592,"Browse - STUKNRS_BOEKING",
593,"Browse - STUKNRS_REKENING",
594,"Browse - COUPURES",
595,"Browse - VERMISTE_STUKKEN",
596,"Browse - WERKBESTAND_SALD",
597,"Browse - AUDIT_HEADER",
598,"Browse - AUDIT_EXCL_COLUM",
599,"Browse - AUDIT_DETAIL",
600,"Browse - AUDIT_DEFINITION",
601,"Browse - CLIENTGROEP_VIEW",
602,"Browse - RECHTSVORM",
603,"Browse - RISICOBEROEP",
